cpu cores,memory mb,latency sensitive,execution time,data size mb,cost traditional,cost serverless,cost ratio,target platform
0.069091796875,472.5,0,300.0,1417.5,0.00035497639973958335,0.0023077903320312503,6.50123172270764,traditional
0.03717041015625,10.9375,1,2.0,0.21875,6.792500813802085e-07,5.56109619140625e-07,0.8175076113365456,serverless
0.21142578125,341.5,1,300.0,1024.5,0.0006818155924479168,0.0016680139648437501,2.446426184577149,serverless
0.0181884765625,426.5,1,1.0,4.265,6.802842881944445e-07,7.1431201171875e-06,10.484786220622178,traditional
0.0958251953125,1130.0,1,300.0,3390.0,0.0006661580403645833,0.005518881640625001,8.284630705611324,traditional
0.105712890625,341.5,1,300.0,1024.5,0.0004034383138020834,0.0016680139648437501,4.134485430098747,traditional
0.129638671875,236.75,1,1.0,2.3675,1.42694091796875e-06,4.05412353515625e-06,2.8391395499214713,serverless
0.105712890625,341.5,1,300.0,1024.5,0.0004034383138020834,0.0016680139648437501,4.134485430098747,serverless
0.18505859375,604.0,0,300.0,1812.0,0.0007085123697916667,0.00295000859375,4.163659740983334,serverless
0.2998046875,1682.0,1,226.0,3801.32,0.0010587741970486113,0.0061884816796875,5.844943947438702,traditional
0.04083251953125,108.5,1,3.0,3.255,1.4725952148437504e-06,5.4989111328125e-06,3.731629335804789,serverless
0.21435546875,85.375,0,300.0,256.125,0.0005957346598307292,0.00041715349121093756,0.7002325348955382,serverless
0.0,2844.0,0,300.0,8532.0,0.0010415039062499998,0.013889696093750003,13.336179225271898,traditional
0.0906982421875,102.375,1,89.0,91.11375,8.197776624891494e-05,0.00014852677856445315,1.8117713325115945,traditional
0.0633544921875,105.875,1,2.0,2.1175,1.3707071940104167e-06,3.6471411132812502e-06,2.6588335536961205,serverless
0.0906982421875,102.375,1,300.0,307.125,0.00027632954915364586,0.0005001779052734376,1.810070970456935,serverless
0.7099609375,349.0,1,117.0,408.33,0.000778974853515625,0.000664932529296875,0.8535983834363327,serverless
0.04083251953125,108.5,1,3.0,3.255,1.4725952148437504e-06,5.4989111328125e-06,3.731629335804789,serverless
0.0760498046875,91.875,0,300.0,275.625,0.00023391011555989584,0.00044889812011718756,1.919096999912523,serverless
0.0906982421875,172.0,1,300.0,516.0,0.00030182698567708335,0.00084021171875,2.7837435844962273,serverless
0.04278564453125,14.125,1,2.0,0.2825,7.856106228298612e-07,6.5989013671875e-07,0.8389031594116675,serverless
